{22,99}	436.405	0	
{70,72}	32.2273	8.48014e-05	
{25,43}	31.2273	0.000128	
{36,38}	30.2599	0.000190141	
{18,33}	29.3718	0.00027281	
{16,47}	28.7713	0.000347765	
{44,86}	28.1352	0.000449216	
{72,85}	27.3325	0.000619326	
{7,37}	26.0752	0.00101962	
{46,47}	25.2491	0.00141038	
{22,78}	24.2353	0.00209252	
{9,18}	23.2374	0.00307249	
{14,84}	22.9955	0.00337005	
{53,70}	22.8952	0.00350144	
{18,74}	22.6172	0.00389204	
{14,16}	22.4669	0.00412056	
{18,25}	22.4428	0.00415841	
{54,79}	22.4248	0.00418684	
{64,96}	21.6983	0.00550656	
{34,68}	21.5798	0.00575669	
{33,57}	21.5602	0.00579917	
{15,57}	21.5152	0.00589763	
{70,87}	21.4783	0.00597969	
{3,42}	21.2894	0.00641717	
{36,50}	21.0936	0.00690287	
{51,75}	20.9621	0.00724871	
{61,91}	20.517	0.00854729	
{2,20}	20.2212	0.00953093	
{2,46}	20.1221	0.00988382	
{33,40}	20.0293	0.0102257	
{5,97}	19.3906	0.0129045	
{36,54}	18.9727	0.0150063	
{18,31}	18.5771	0.0172927	
{23,40}	18.3357	0.0188458	
{31,84}	18.2897	0.0191565	
{30,50}	17.912	0.0218957	
{55,76}	17.9064	0.0219396	
{5,23}	17.5017	0.0252887	
{13,69}	17.4695	0.0255754	
{51,92}	17.2046	0.028048	
{6,93}	17.1541	0.0285434	
{20,80}	17.1084	0.0289996	
{12,95}	16.9609	0.0305189	
{9,52}	16.8729	0.0314599	
{81,85}	16.8704	0.0314869	
{62,92}	16.8635	0.0315622	
{35,89}	16.7547	0.0327669	
{33,46}	16.6144	0.0343844	
{53,74}	16.5235	0.0354717	
{34,43}	16.1954	0.0396673	
{10,31}	16.028	0.041981	
{5,91}	16.0038	0.0423257	
{41,69}	15.7721	0.0457606	
{38,55}	15.7095	0.0467315	
{20,34}	15.6656	0.0474235	
{59,68}	15.5715	0.0489411	
{13,46}	15.4384	0.0511617	
{20,41}	15.3595	0.0525215	
{46,96}	15.2565	0.0543456	
{3,59}	15.2198	0.0550095	
{37,44}	15.1834	0.0556758	
{27,86}	15.1588	0.0561304	
{37,55}	14.6604	0.0660957	
{24,44}	14.6232	0.0668987	
{58,86}	14.5779	0.067891	
{33,38}	14.5021	0.0695803	
{40,92}	14.469	0.0703302	
{74,89}	14.3562	0.0729406	
{57,88}	14.2837	0.0746632	
{81,84}	14.19	0.0769449	
{2,96}	14.0849	0.0795803	
{10,37}	14.0131	0.0814251	
{14,94}	13.8819	0.0848967	
{7,79}	13.721	0.0893349	
{2,12}	13.6729	0.0906995	
{19,93}	13.6515	0.0913147	
{49,92}	13.5583	0.0940297	
{22,68}	13.4808	0.0963428	
{43,91}	13.3727	0.0996527	
{65,78}	13.2528	0.103442	
{0,37}	13.0518	0.110081	
{10,69}	13.0025	0.111764	
{13,43}	12.9332	0.114169	
{15,38}	12.8472	0.117214	
{35,82}	12.5414	0.128632	
{68,80}	12.525	0.129272	
{5,74}	12.0086	0.150823	
{21,93}	11.5859	0.17066	
{63,88}	11.4596	0.176992	
{20,96}	11.2999	0.185278	
{1,84}	11.2182	0.189641	
{39,96}	10.5754	0.226939	
{75,95}	10.3443	0.241685	
{4,32}	10.07	0.260145	
{35,84}	9.30693	0.317069	
{0,8}	9.0097	0.341478	
{17,44}	8.86047	0.354203	
{1,94}	7.93491	0.439854	
{39,81}	7.82235	0.451013	
{79,84}	7.36061	0.498271	
